DEVTYPE_Academia,DEVTYPE_BackEnd,DEVTYPE_Blockchain,DEVTYPE_DataScienceAndAI,DEVTYPE_DevSupport,DEVTYPE_ExecutiveManagement,DEVTYPE_FrontEnd,DEVTYPE_FullStack,DEVTYPE_Management,DEVTYPE_Native,DEVTYPE_ResearchAndDevelopment,age,ai_sent,ai_threat,comp_usd,country,ed_level,home_gni,org_size,per_gni,remote_work,years_code_pre_pro
False,False,False,False,False,False,True,False,False,False,False,2,0,-1.0,34574.67,brazil,5,9950.0,4,3.47,2,4.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,45998.4,hungary,5,20690.0,1,2.22,2,2.0
False,False,False,False,False,False,True,False,False,False,False,3,1,-1.0,19479.6,spain,7,33410.0,3,0.58,1,2.0
False,False,False,False,False,False,True,False,False,False,False,4,0,-1.0,174000.0,united states,5,83660.0,4,2.08,2,10.0
False,False,False,False,False,False,False,True,False,False,False,3,2,-1.0,27055.0,portugal,6,26620.0,3,1.02,1,8.0
False,False,False,False,False,False,True,False,False,False,False,3,1,0.0,270550.0,germany,7,54960.0,0,4.92,2,5.0
False,False,False,True,False,False,False,False,False,False,False,3,1,-1.0,183804.0,israel,5,52940.0,5,3.47,1,5.0
False,False,False,False,False,False,True,False,False,False,False,4,2,-1.0,80000.0,united states,3,83660.0,4,0.96,1,0.0
False,False,False,False,False,False,False,False,True,False,False,3,0,-1.0,220000.0,united states,5,83660.0,6,2.63,2,9.0
False,True,False,False,False,False,False,False,False,False,False,1,0,-1.0,19479.6,france,6,45180.0,7,0.43,1,9.0
False,False,False,False,False,False,True,False,False,False,False,2,0,-1.0,170000.0,united states,4,83660.0,8,2.03,2,3.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,126000.0,united states,6,83660.0,3,1.51,1,5.0
False,False,False,False,False,False,True,False,False,False,False,3,1,-1.0,78000.0,united states,3,83660.0,4,0.93,0,1.0
False,False,False,False,False,False,False,False,True,False,False,4,2,0.0,80000.0,united states,5,83660.0,3,0.96,1,0.0
False,True,False,False,False,False,False,False,False,False,False,3,1,0.0,23948.52,bangladesh,6,2820.0,3,8.49,1,1.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,8604.0,india,5,2650.0,3,3.25,0,1.0
False,False,False,False,False,False,False,False,False,True,False,2,1,-1.0,84411.6,cyprus,6,32980.0,4,2.56,0,2.0
False,False,False,False,False,False,True,False,False,False,False,3,1,-1.0,219000.0,canada,6,53340.0,0,4.11,2,8.0
True,False,False,False,False,False,False,False,False,False,False,2,1,-1.0,22698.0,indonesia,6,4910.0,1,4.62,1,6.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,66663.52,netherlands,6,62840.0,3,1.06,0,7.0
False,False,False,False,False,False,True,False,False,False,False,2,0,-1.0,54110.0,netherlands,3,62840.0,2,0.86,1,2.0
False,False,False,False,False,False,False,False,False,True,False,4,1,0.0,27055.0,slovenia,3,31640.0,0,0.86,1,3.0
False,False,False,False,False,False,True,False,False,False,False,2,2,-1.0,70343.0,netherlands,6,62840.0,2,1.12,1,9.0
True,False,False,False,False,False,False,False,False,False,False,3,1,-1.0,90000.0,united states,7,83660.0,6,1.08,2,10.0
False,False,False,False,True,False,False,False,False,False,False,1,0,-1.0,44733.5,united kingdom of great britain and northern ireland,5,48610.0,8,0.92,1,10.0
False,False,False,False,False,False,False,False,False,True,False,2,2,-1.0,75754.0,germany,5,54960.0,6,1.38,1,5.0
False,True,False,False,False,False,False,False,False,False,False,2,1,-1.0,73500.0,united states,6,83660.0,8,0.88,2,2.0
False,False,False,False,False,False,True,False,False,False,False,3,0,-1.0,155000.0,united states,6,83660.0,7,1.85,2,10.0
False,False,False,False,False,False,True,False,False,False,False,3,-2,-1.0,124993.0,switzerland,6,95900.0,3,1.3,1,2.0
False,True,False,False,False,False,False,False,False,False,False,3,1,0.0,184000.0,united states,5,83660.0,4,2.2,2,4.0
False,False,False,False,False,False,False,False,False,True,False,4,0,0.0,87577.2,israel,3,52940.0,3,1.65,1,2.0
False,True,False,False,False,False,False,False,False,False,False,2,2,-1.0,150000.0,united states,5,83660.0,4,1.79,2,5.0
False,True,False,False,False,False,False,False,False,False,False,1,1,0.0,9043.2,poland,3,21560.0,8,0.42,1,5.0
False,False,False,False,False,False,False,False,False,True,False,3,2,0.0,210535.0,saudi arabia,6,35570.0,6,5.92,0,3.0
False,False,False,False,False,False,True,False,False,False,False,4,1,-1.0,130000.0,united states,5,83660.0,3,1.55,2,4.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,102248.0,united kingdom of great britain and northern ireland,4,48610.0,3,2.1,2,5.0
False,False,False,False,False,False,True,False,False,False,False,3,1,-1.0,80082.8,france,7,45180.0,1,1.77,2,11.0
False,False,False,False,False,False,True,False,False,False,False,1,2,-1.0,17925.0,india,5,2650.0,8,6.76,0,4.0
False,False,False,False,False,False,True,False,False,False,False,2,2,-1.0,4913.1,south africa,1,6100.0,4,0.81,2,1.0
False,False,False,False,False,False,False,False,False,True,False,4,2,1.0,34464.0,czech republic,6,29140.0,4,1.18,2,17.0
False,True,False,False,False,False,False,False,False,False,False,3,1,-1.0,75000.0,united states,7,83660.0,5,0.9,1,0.0
False,False,False,False,False,False,True,False,False,False,False,4,2,0.0,80000.0,united states,4,83660.0,4,0.96,0,2.0
False,False,False,False,False,False,True,False,False,False,False,3,1,-1.0,50242.64,mexico,5,12800.0,8,3.93,2,5.0
False,False,False,False,False,False,True,False,False,False,False,5,-2,-1.0,160000.0,united states,5,83660.0,3,1.91,2,0.0
False,True,False,False,False,False,False,False,False,False,False,3,1,-1.0,82980.0,bulgaria,5,15320.0,6,5.42,1,5.0
False,False,False,False,False,False,True,False,False,False,False,3,2,-1.0,132612.0,united states,0,83660.0,8,1.59,2,5.0
False,True,False,False,False,False,False,False,False,False,False,2,1,-1.0,26190.0,philippines,5,4470.0,2,5.86,2,4.0
False,True,False,False,False,False,False,False,False,False,False,2,2,0.0,73000.0,united states,5,83660.0,4,0.87,1,5.0
False,False,False,False,True,False,False,False,False,False,False,2,1,-1.0,146000.0,canada,2,53340.0,8,2.74,1,4.0
False,False,False,False,False,False,False,True,False,False,False,3,0,-1.0,15000.0,thailand,5,7120.0,2,2.11,2,5.0
False,False,False,False,False,False,True,False,False,False,False,2,2,-1.0,71425.2,germany,5,54960.0,3,1.3,2,4.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,140000.0,united states,5,83660.0,1,1.67,2,2.0
False,True,False,False,False,False,False,False,False,False,False,4,1,-1.0,175000.0,united states,7,83660.0,3,2.09,1,8.0
False,True,False,False,False,False,False,False,False,False,False,4,1,-1.0,98413.7,united kingdom of great britain and northern ireland,6,48610.0,3,2.02,2,7.0
False,False,False,False,False,False,True,False,False,False,False,4,1,-1.0,21620.0,russian federation,3,15320.0,3,1.41,0,10.0
